Date,Open,High,Low,Close
2010-01-04,17473.45,17582.84,17378.38,17558.73
2010-01-05,17555.77,17729.78,17555.77,17686.24
2010-01-06,17719.47,17790.33,17636.71,17701.13
2010-01-07,17701.97,17733.34,17566.54,17615.72
2010-01-08,17603.87,17658.12,17508.96,17540.29
2010-01-11,17724.59,17776.57,17500.79,17526.71
2010-01-12,17534.1,17612,17392.55,17422.51
2010-01-13,17368.03,17528.31,17276.46,17509.8
2010-01-14,17525.71,17628.04,17525.71,17584.87
2010-01-15,17604.31,17639.85,17529.11,17554.3
2010-01-18,17538.72,17712.6,17505.5,17641.08
2010-01-19,17650.82,17664.86,17463.78,17486.06
2010-01-20,17486.69,17590.59,17425.05,17474.49
2010-01-21,17474.49,17474.49,17025.26,17051.14
2010-01-22,16978.36,17000.33,16608.09,16859.68
2010-01-25,16847.7,16877.77,16705.56,16780.46
2010-01-27,16708.6,16708.6,16230.85,16289.82
2010-01-28,16317.16,16524.69,16182.14,16306.87
2010-01-29,16253.82,16390.31,15982.08,16357.96
2010-02-01,16339.32,16422.4,16160.8,16356.03
2010-02-02,16368.44,16525.98,16129.11,16163.44
2010-02-03,16210.25,16552.99,16210.25,16496.05
2010-02-04,16500.29,16508.22,16188.8,16224.95
2010-02-05,16222.56,16222.56,15725.43,15790.93
2010-02-06,15807.75,15951.07,15807.75,15915.65
2010-02-08,15931.34,16061.41,15651.99,15935.61
2010-02-09,15940.73,16094.13,15862.9,16042.18
2010-02-10,16042.18,16141.13,15892.01,15922.17
2010-02-11,15928.28,16202.87,15928.28,16152.59
2010-02-15,16186.9,16227.04,16011.82,16038.35
2010-02-16,16042.18,16310.39,16021.29,16226.68
2010-02-17,16228.91,16480.89,16228.91,16428.91
2010-02-18,16421.2,16452.51,16287.17,16327.84
2010-02-19,16256.53,16301.94,16074.58,16191.63
2010-02-22,16191.32,16423.23,16191.32,16237.05
2010-02-23,16213.14,16324.93,16178.91,16286.32
2010-02-24,16218.68,16328.44,16187.44,16255.97
2010-02-25,16264.1,16329.33,16167.13,16254.2
2010-02-26,16255.33,16669.25,16249.67,16429.55
2010-03-02,16438.45,16808.49,16438.45,16772.56
2010-03-03,16778.29,17012.61,16778.29,17000.01
2010-03-04,17013.68,17024.96,16888.05,16971.7
2010-03-05,16988.29,17097.71,16936.12,16994.49
2010-03-08,17034.92,17187.55,17034.92,17102.6
2010-03-09,17089.22,17130.83,17031.21,17052.54
2010-03-10,17072.94,17183.51,17027.92,17098.33
2010-03-11,17087.63,17215.07,17054.28,17167.96
2010-03-12,17176.02,17244.54,17126.93,17166.62
2010-03-15,17166.97,17195.49,17061.14,17164.99
2010-03-16,17169.84,17416.55,17150.06,17383.18
2010-03-17,17389.47,17576.78,17389.47,17490.08
2010-03-18,17492.81,17548.13,17417.61,17519.26
2010-03-19,17531.47,17600.87,17502.14,17578.23
